,joined,kind,link,location,market,name,pitch,raised,size,stage,website,query,type_,tech,min_size,lifetime,raised_month,k_raised,m_raised,b_raised,latitude,longitude,address
2001,2013-05-01,startup,https://angel.co/hutgrip,,manufacturing,hutgrip,a software platform for the next generation manufacturers.,,11-50,,hutgrip.com,machine learning,startup,python,11,70,,,,,,,
2002,2013-08-01,startup,https://angel.co/dropsense,berkeley,sensors,dropsense,non invasive low blood sugar alert systems,,1-10,,mydropsense.com,machine learning,startup,python,1,67,,,,,37.8708393,-122.2728639,
2003,2014-07-01,startup,https://angel.co/quantitative-insights,chicago,medical devices,quantitative insights,were bringing machine learning to cancer diagnostics.,,1-10,,quantinsights.com,machine learning,startup,python,1,56,,,,,41.8755616,-87.6244212,
2004,2014-03-01,startup,https://angel.co/vicinity-health,chandler,fitness,vicinity health,improving the standard of life for people living with chronic diseases,,1-10,,vicinityhealth.com,machine learning,startup,python,1,60,,,,,33.3067132,-111.8408489,
2005,2015-03-01,startup,https://angel.co/the-beans,san francisco,personal finance,the beans,wealth management at scale for the real middle class.,,1-10,,thebeans.io,machine learning,startup,python,1,48,,,,,37.7792808,-122.4192363,
2006,2015-05-01,startup,https://angel.co/zealr,irvine,messaging,zealr,machine learning sales tool to get rid of bad sales data! @berkeley @stanford @usc @auburn,108000.0,1-10,,zealr.co,machine learning,startup,python,1,46,2347.8260869565215,108.0,0.108,0.000108,55.6143018,-4.6655544,
2007,2016-03-01,startup,https://angel.co/asimov-1,zurich,deep learning,asimov,medical data analysis and visualization for research and physicians,,,,asimovmed.com,machine learning,startup,python,0,36,,,,,47.3769434,8.5414061,
2008,2012-01-01,startup,https://angel.co/talenthound,seattle,match making,talenthound,"fetching jobs for talent. discover, match, hire",,1-10,,talenthound.co,machine learning,startup,python,1,86,,,,,47.6038321,-122.3300624,
2009,2012-10-01,startup,https://angel.co/crowdsourced-testing-company,santiago,web development,crowdsourced testing,crowdsourced software testing platform,,1-10,,crowdsourcedtesting.com,machine learning,startup,python,1,77,,,,,-33.4377968,-70.6504451,
2010,2013-05-01,startup,https://angel.co/perpetto,sofia,data mining,perpetto,personalized product discovery for ecommerce,70000.0,1-10,,perpetto.com,machine learning,startup,python,1,70,1000.0,70.0,0.07,7e-05,42.6978634,23.3221789,
